trace,batch,budget,policy,tok_s,stall_ms_tok,hit_rate,pf_mb_tok,waste_mb_tok
base,1,64,demand,85.81,10.4531,0.3564,0.000,0.000
base,1,64,1,62.71,14.7466,0.3793,23.840,0.007
base,1,64,2,66.49,13.8389,0.3799,19.338,0.005
base,1,64,4,71.41,12.8035,0.3639,12.632,0.004
base,1,64,oracle,93.50,9.4952,0.7555,27.622,0.000
base,1,128,demand,164.96,4.8619,0.7006,0.000,0.000
base,1,128,1,124.25,6.8481,0.7032,11.745,0.004
base,1,128,2,131.43,6.4088,0.7036,9.369,0.003
base,1,128,4,142.05,5.8396,0.7020,5.844,0.002
base,1,128,oracle,181.69,4.3038,0.9332,16.095,0.000
joint,1,64,demand,86.05,10.4208,0.3584,0.000,0.000
joint,1,64,1,62.49,14.8034,0.3755,23.842,0.006
joint,1,64,2,66.47,13.8452,0.3782,19.260,0.007
joint,1,64,4,71.33,12.8202,0.3620,12.580,0.005
joint,1,64,oracle,93.76,9.4653,0.7565,27.552,0.000
joint,1,128,demand,167.07,4.7855,0.7053,0.000,0.000
joint,1,128,1,124.43,6.8368,0.7031,11.752,0.004
joint,1,128,2,132.39,6.3535,0.7052,9.277,0.003
joint,1,128,4,143.00,5.7929,0.7041,5.838,0.002
joint,1,128,oracle,183.96,4.2361,0.9343,15.842,0.000
